run,seed,rnn_0,rnn_1
0,1765948704,144.3923671849957,135.00946537807212
1,1765948725,-460.84722222222223,134.15055428961816
2,1765948746,-468.90277777777777,130.1575625951104
3,1765948767,124.90678118792148,132.82343411879737
4,1765948787,-483.21527777777777,137.42790125081243
